instances,timepoints,var_0,var_1,var_2,var_3,var_4,var_5,label
2,59,0,7.19,0,0,1,6,8
2,60,0,7.19,0,0,1,6,8
2,61,0,7.19,0,0,1,6,8
2,62,0,7.19,0,0,1,6,8
2,63,0,7.19,0,0,1,6,8
2,64,0,7.19,0,0,1,6,8
2,65,0,7.19,0,0,1,6,8
2,66,0,7.19,0,0,1,6,8
2,67,0,7.19,0,0,1,6,8
2,68,0,7.19,0,0,1,6,8
2,69,0,7.19,0,0,1,6,8
2,70,0,7.19,0,0,1,6,8
2,71,0,7.19,0,0,1,6,8
2,72,0,7.19,0,0,1,6,8
2,73,0,7.19,0,0,1,6,8
2,74,0,7.19,0,0,1,6,8
2,75,0,7.19,0,0,1,6,8
2,76,0,7.19,0,0,1,6,8
2,77,0,7.19,0,0,1,6,8
2,78,0,7.19,0,0,1,6,8
2,79,0,7.19,0,0,1,6,8
2,80,0,7.19,0,0,1,6,8
2,81,0,7.19,0,0,1,6,8
2,82,0,7.19,0,0,1,6,8
2,83,0,7.19,0,0,1,6,8
2,84,0,7.19,0,0,1,6,8
2,85,0,7.19,0,0,1,6,8
2,86,0,7.19,0,0,1,6,8
2,87,0,7.19,0,0,1,6,8
2,88,0,7.19,0,0,1,6,8
2,89,0,7.19,0,0,1,6,8
2,90,0,7.19,0,0,1,6,8
2,91,0,7.19,0,0,1,6,8
2,92,0,7.19,0,0,1,6,8
2,93,0,7.19,0,0,1,6,8
2,94,0,7.19,0,0,1,6,8
2,95,0,7.19,0,0,1,6,8
2,96,0,7.19,0,0,1,6,8
2,97,0,7.19,0,0,1,6,8
2,98,0,7.19,0,0,1,6,8
2,99,0,7.19,0,0,1,6,8
2,100,0,7.19,0,0,1,6,8
2,101,0,7.19,0,0,1,6,8
2,102,0,7.19,0,0,1,6,8
2,103,0,7.19,0,0,1,6,8
2,104,0,7.19,0,0,1,6,8
2,105,0,7.19,0,0,1,6,8
2,106,0,7.19,0,0,1,6,8
2,107,0,7.19,0,0,1,6,8
2,108,0,7.19,0,0,1,6,8
2,109,0,7.19,0,0,1,6,8
2,110,0,7.19,0,0,1,6,8
2,111,0,7.19,0,0,1,6,8
2,112,0,7.19,0,0,1,6,8
2,113,0,7.19,0,0,1,6,8
2,114,0,7.19,0,0,1,6,8
2,115,0,7.19,0,0,1,6,8
2,116,0,7.19,0,0,1,6,8
2,117,0,7.19,0,0,1,6,8
2,118,0,7.19,0,0,1,6,8
3,0,0,7.5,0,7.5,2,6,8
3,1,0,7.5,0,0,1,6,8
3,2,0,7.5,0,0,1,6,8
3,3,0,7.5,0,0,1,6,8
3,4,0,7.5,0,0,1,6,8
3,5,0,7.5,0,0,1,6,8
3,6,0,7.5,0,0,1,6,8
3,7,0,7.5,0,0,1,6,8
3,8,0,7.5,0,0,1,6,8
3,9,0,7.5,0,0,1,6,8
3,10,0,7.5,0,0,1,6,8
3,11,0,7.5,0,0,1,6,8
3,12,0,7.5,0,0,1,6,8
3,13,0,7.5,0,0,1,6,8
3,14,0,7.5,0,0,1,6,8
3,15,0,7.5,0,0,1,6,8
3,16,0,7.5,0,0,1,6,8
3,17,0,7.5,0,0,1,6,8
3,18,0,7.5,0,0,1,6,8
3,19,0,7.5,0,0,1,6,8
3,20,0,7.5,0,0,1,6,8
3,21,0,7.5,0,0,1,6,8
3,22,0,7.5,0,0,1,6,8
3,23,0,7.5,0,0,1,6,8
3,24,0,7.5,0,0,1,6,8
3,25,0,7.5,0,0,1,6,8
3,26,0,7.5,0,0,1,6,8
3,27,0,7.5,0,0,1,6,8
3,28,0,7.5,0,0,1,6,8
3,29,0,7.5,0,0,1,6,8
3,30,0,7.5,0,0,1,6,8
3,31,0,7.5,0,0,1,6,8
3,32,0,7.5,0,0,1,6,8
3,33,0,7.5,0,0,1,6,8
3,34,0,7.5,0,0,1,6,8
3,35,0,7.5,0,0,1,6,8
3,36,0,7.5,0,0,1,6,8
3,37,0,7.5,0,0,1,6,8
3,38,0,7.5,0,0,1,6,8
3,39,0,7.5,0,0,1,6,8
3,40,0,7.5,0,0,1,6,8
3,41,0,7.5,0,0,1,6,8
3,42,0,7.5,0,0,1,6,8
3,43,0,7.5,0,0,1,6,8
3,44,0,7.5,0,0,1,6,8
3,45,0,7.5,0,0,1,6,8
3,46,0,7.5,0,0,1,6,8
3,47,0,7.5,0,0,1,6,8
3,48,0,7.5,0,0,1,6,8
3,49,0,7.5,0,0,1,6,8
3,50,0,7.5,0,0,1,6,8
3,51,0,7.5,0,0,1,6,8
3,52,0,7.5,0,0,1,6,8
3,53,0,7.5,0,0,1,6,8
3,54,0,7.5,0,0,1,6,8
3,55,0,7.5,0,0,1,6,8
3,56,0,7.5,0,0,1,6,8
3,57,0,7.5,0,0,1,6,8
3,58,0,7.5,0,0,1,6,8
3,59,0,7.5,0,0,1,6,8
3,60,0,7.5,0,0,1,6,8
3,61,0,7.5,0,0,1,6,8
3,62,0,7.5,0,0,1,6,8
3,63,0,7.5,0,0,1,6,8
3,64,0,7.5,0,0,1,6,8
3,65,0,7.5,0,0,1,6,8
3,66,0,7.5,0,0,1,6,8
3,67,0,7.5,0,0,1,6,8
3,68,0,7.5,0,0,1,6,8
3,69,0,7.5,0,0,1,6,8
3,70,0,7.5,0,0,1,6,8
3,71,0,7.5,0,0,1,6,8
3,72,0,7.5,0,0,1,6,8
3,73,0,7.5,0,0,1,6,8
3,74,0,7.5,0,0,1,6,8
3,75,0,7.5,0,0,1,6,8
3,76,0,7.5,0,0,1,6,8
3,77,0,7.5,0,0,1,6,8
3,78,0,7.5,0,0,1,6,8
3,79,0,7.5,0,0,1,6,8
3,80,0,7.5,0,0,1,6,8
3,81,0,7.5,0,0,1,6,8
3,82,0,7.5,0,0,1,6,8
3,83,0,7.5,0,0,1,6,8
3,84,0,7.5,0,0,1,6,8
3,85,0,7.5,0,0,1,6,8
3,86,0,7.5,0,0,1,6,8
3,87,0,7.5,0,0,1,6,8
3,88,0,7.5,0,0,1,6,8
3,89,0,7.5,0,0,1,6,8
3,90,0,7.5,0,0,1,6,8
3,91,0,7.5,0,0,1,6,8
3,92,0,7.5,0,0,1,6,8
3,93,0,7.5,0,0,1,6,8
3,94,0,7.5,0,0,1,6,8
3,95,0,7.5,0,0,1,6,8
3,96,0,7.5,0,0,1,6,8
3,97,0,7.5,0,0,1,6,8
3,98,0,7.5,0,0,1,6,8
3,99,0,7.5,0,0,1,6,8
3,100,0,7.5,0,0,1,6,8
3,101,0,7.5,0,0,1,6,8
3,102,0,7.5,0,0,1,6,8
3,103,0,7.5,0,0,1,6,8
3,104,0,7.5,0,0,1,6,8
3,105,0,7.5,0,0,1,6,8
3,106,0,7.5,0,0,1,6,8
3,107,0,7.5,0,0,1,6,8
3,108,0,7.5,0,0,1,6,8
3,109,0,7.5,0,0,1,6,8
3,110,0,7.5,0,0,1,6,8
3,111,0,7.5,0,0,1,6,8
3,112,0,7.5,0,0,1,6,8
3,113,0,7.5,0,0,1,6,8
3,114,0,7.5,0,0,1,6,8
3,115,0,7.5,0,0,1,6,8
3,116,0,7.5,0,0,1,6,8
3,117,0,7.5,0,0,1,6,8
3,118,0,7.5,0,0,1,6,8
4,0,0,7.81,0,7.81,2,6,8
4,1,0,7.81,0,0,1,6,8
4,2,0,7.81,0,0,1,6,8
4,3,0,7.81,0,0,1,6,8
4,4,0,7.81,0,0,1,6,8
4,5,0,7.81,0,0,1,6,8
4,6,0,7.81,0,0,1,6,8
4,7,0,7.81,0,0,1,6,8
4,8,0,7.81,0,0,1,6,8
4,9,0,7.81,0,0,1,6,8
4,10,0,7.81,0,0,1,6,8
4,11,0,7.81,0,0,1,6,8
4,12,0,7.81,0,0,1,6,8
4,13,0,7.81,0,0,1,6,8
4,14,0,7.81,0,0,1,6,8
4,15,0,7.81,0,0,1,6,8
4,16,0,7.81,0,0,1,6,8
4,17,0,7.81,0,0,1,6,8
4,18,0,7.81,0,0,1,6,8
4,19,0,7.81,0,0,1,6,8
4,20,0,7.81,0,0,1,6,8
4,21,0,7.81,0,0,1,6,8
4,22,0,7.81,0,0,1,6,8
4,23,0,7.81,0,0,1,6,8
4,24,0,7.81,0,0,1,6,8
4,25,0,7.81,0,0,1,6,8
4,26,0,7.81,0,0,1,6,8
4,27,0,7.81,0,0,1,6,8
4,28,0,7.81,0,0,1,6,8
4,29,0,7.81,0,0,1,6,8
4,30,0,7.81,0,0,1,6,8
4,31,0,7.81,0,0,1,6,8
4,32,0,7.81,0,0,1,6,8
